"akteTypeLabel","aantal"
"Machtiging","150596"
"Wisselprotest","122216"
"Testament","72023"
"Transport","66913"
"Attestatie","65241"
"Kwitantie","36686"
"Insinuatie","24947"
"Scheepsverklaring","22609"
"Obligatie","20300"
"Bevrachtingscontract","17689"
"Boedelinventaris","12025"
"HuwelijkseVoorwaarden","8268"
"Boedelscheiding","7269"
"Borgtocht","6568"
"Akkoord","6154"
"AkteVanExecuteurschap","5374"
"Contract","4673"
"Voogdij","4641"
"Overig","3871"
"Koop","3664"
"Renunciatie","3333"
"BewijsAanMinderjarigen","3060"
"Compagnieschap","2246"
"Consent","2142"
"Beraad","1828"
"Uitspraak","1656"
"NonPrejuditie","1222"
"Onbekend","747"
"Cessie","633"
"Revocatie","615"
"Bodemerij","608"
"Schenking","563"
"Huur","498"
"ConventieEchtscheiding","441"
"Trouwbelofte","377"
"Hypotheek","344"
"Bijlbrief","282"
"Verhoor","141"
"Interrogatie","52"
"Bestek","45"
"Procuratie","5"
"AkteVanVoogdij","1"
"Quitantie","1"
"Verklaring","1"
