rubriek,htr_notaris,inventarisnummer,serienummer,htr_titel,htr_aantal_scans,htr_status
8,JAN FRANSSEN BRUIJNINGH ,173,KLAF00792,173_KLAF00792,110,GT
18,PALM MATHIJSZ,481B,A26334,481B_A26334,326,GT
20,JACOB JANSZ WESTFRISIUS ,494,A26620,494_A26620,284,GT
20,JACOB JANSZ WESTFRISIUS,509,A21956,509_A21956,282,GT
20,JACOB JANSZ WESTFRISIUS,562A,A25337,562A_A25337,110,GT
20,JACOB JANSZ WESTFRISIUS,492,A26627,492_A26627,258,HTR
20,JACOB JANSZ WESTFRISIUS,493,A26625,493_A26625,299,HTR
20,JACOB JANSZ WESTFRISIUS,495,A26631,495_A26631,286,HTR
20,JACOB JANSZ WESTFRISIUS,496,A25878,496_A25878,302,HTR
20,JACOB JANSZ WESTFRISIUS,497,A25837,497_A25837,294,HTR
20,JACOB JANSZ WESTFRISIUS,498,A25835,498_A25835,277,HTR
20,JACOB JANSZ WESTFRISIUS,500,A25094,500_A25094,273,HTR
20,JACOB JANSZ WESTFRISIUS,501,A25118,501_A25118,269,HTR
20,JACOB JANSZ WESTFRISIUS,502,A25137,502_A25137,278,HTR
20,JACOB JANSZ WESTFRISIUS,503,A24169,503_A24169,297,HTR
20,JACOB JANSZ WESTFRISIUS,504,A16647,504_A16647,271,HTR
20,JACOB JANSZ WESTFRISIUS,505,A16648,505_A16648,246,HTR
20,JACOB JANSZ WESTFRISIUS,506,A22984,506_A22984,288,HTR
20,JACOB JANSZ WESTFRISIUS,507,A22985,507_A22985,273,HTR
20,JACOB JANSZ WESTFRISIUS,508,A22986,508_A22986,288,HTR
20,JACOB JANSZ WESTFRISIUS,510,A24167,510_A24167,284,HTR
20,JACOB JANSZ WESTFRISIUS,511,A24168,511_A24168,273,HTR
20,JACOB JANSZ WESTFRISIUS,512,NOTA00051,512_NOTA00051,186,HTR
20,JACOB JANSZ WESTFRISIUS,513,NOTA00052,513_NOTA00052,306,HTR
20,JACOB JANSZ WESTFRISIUS,514,NOTA00053,514_NOTA00053,197,HTR
20,JACOB JANSZ WESTFRISIUS,515,NOTA00054,515_NOTA00054,285,HTR
20,JACOB JANSZ WESTFRISIUS,516,NOTA00055,516_NOTA00055,295,HTR
20,JACOB JANSZ WESTFRISIUS,517,NOTA00056,517_NOTA00056,283,HTR
20,JACOB JANSZ WESTFRISIUS,518,NOTA00057,518_NOTA00057,264,HTR
20,JACOB JANSZ WESTFRISIUS,519,NOTA00058,519_NOTA00058,253,HTR
20,JACOB JANSZ WESTFRISIUS,520,NOTA00059,520_NOTA00059,265,HTR
20,JACOB JANSZ WESTFRISIUS,521,NOTA00060,521_NOTA00060,275,HTR
20,JACOB JANSZ WESTFRISIUS,522,NOTA00061,522_NOTA00061,303,HTR
20,JACOB JANSZ WESTFRISIUS,523,A32501,523_A32501,285,HTR
20,JACOB JANSZ WESTFRISIUS,524,NOTA00062,524_NOTA00062,289,HTR
20,JACOB JANSZ WESTFRISIUS,525,NOTA00063,525_NOTA00063,279,HTR
20,JACOB JANSZ WESTFRISIUS,526,A32515,526_A32515,303,HTR
48,JOOST VAN DE VEN ,1165,A14251,1165_A14251,285,GT
48,JOOST VAN DE VEN,1157,A29824,1157_A29824,218,HTR
48,JOOST VAN DE VEN,1158,A29816,1158_A29816,153,HTR
48,JOOST VAN DE VEN,1159,A29806,1159_A29806,185,HTR
48,JOOST VAN DE VEN,1160,A29802,1160_A29802,280,HTR
48,JOOST VAN DE VEN,1161,A29800,1161_A29800,280,HTR
48,JOOST VAN DE VEN,1162,A29825,1162_A29825,278,HTR
48,JOOST VAN DE VEN,1163,A29811,1163_A29811,286,HTR
48,JOOST VAN DE VEN,1164,A29827,1164_A29827,360,HTR
48,JOOST VAN DE VEN,1166,A29852,1166_A29852,65,HTR
48,JOOST VAN DE VEN,1167,A14250,1167_A14250,157,HTR
48,JOOST VAN DE VEN,1168,KLAF00645,1168_KLAF00645,98,HTR
48,JOOST VAN DE VEN,1169,KLAF00648,1169_KLAF00648,192,HTR
49,JAN DE VOS,1183,NOTG00415,1183_NOTG00415,134,GT
54,HENDRIK SCHAEF,1278,A31203,1278_A31203,212,HTR
54,HENDRIK SCHAEF,1279,A30746,1279_A30746,87,GT
54,HENDRIK SCHAEF,1280,A30768,1280_A30768,199,GT
54,HENDRIK SCHAEF,1281,A30761,1281_A30761,76,GT
54,HENDRIK SCHAEF,1282,A30772,1282_A30772,90,GT
54,HENDRIK SCHAEF,1283,A20362,1283_A20362,142,GT
54,HENDRIK SCHAEF,1284,A30708,1284_A30708,96,GT
54,HENDRIK SCHAEF,1285,KLAB05520,1285_KLAB05520,190,GT
54,HENDRIK SCHAEF,1286,KLAB05528,1286_KLAB05528,50,GT
54,HENDRIK SCHAEF,1287,KLAB05564,1287_KLAB05564,195,HTR
54,HENDRIK SCHAEF,1288,KLAB05555,1288_KLAB05555,72,HTR
54,HENDRIK SCHAEF,1289,KLAB05562,1289_KLAB05562,202,HTR
