scopeid,inventarisnummer,aantal_scans
313844,1A,41
313845,1B,61
313846,1C,44
313847,1D,10
313848,1E,33
313849,1F,45
313850,1G,0
313851,1H,78
313852,1I,69
313853,1J,91
313854,1K,0
313855,1L,0
313856,1M,61
64701385,2AA,0
64701350,2AB,0
313858,2B,0
313859,3A,0
313860,3B,0
313861,3C,0
313862,3D,0
64701386,3EA,0
64701381,3EB,0
313864,3F,0
313866,4A,0
64701387,4BA,0
64701384,4BB,218
313868,4C,109
313869,4D,0
64701416,5AA,479
64701417,5AB,114
313871,5B,286
313872,5C,6
313873,5D,26
313874,5E,74
313875,5F,35
313876,5G,8
313877,5H,136
313878,5I,73
313959,6,101
313960,7,61
313962,8,263
313965,9,194
313966,10,213
313967,11,198
313968,12,202
313969,13,258
313970,14,103
313971,15,150
313972,16,142
313973,17,192
313974,18,200
313975,19,152
313977,20A,21
313978,20B,38
313979,20C,43
313980,20C1,45
313981,20C2,48
313982,20C3,52
313983,20C4,51
313984,20C5,47
313985,20D,78
313986,20E,49
313987,20F,47
313988,20G,46
313989,20H,80
313990,20I,31
313991,20K,58
313992,21L,50
313993,21M,57
313994,21N,50
313995,21O,81
313996,21P,53
313997,21Q,43
313998,21R,50
313999,21S,47
314000,21T,50
314001,21U,75
314004,22,77
314005,23,239
314006,24,0
314007,25,457
314008,26,432
314009,27,412
314010,28,472
314011,29,407
314012,30,0
314013,31,413
314015,32,536
314016,33,468
314017,34,757
314018,35,531
314019,36,598
314020,37,669
314021,38,617
314022,39,774
314023,40,482
314024,41,567
314027,42,154
314028,43,151
314029,44,208
314030,45,158
314031,46,151
314032,47,152
314033,48,157
314034,49,153
314035,50,212
314036,51,155
314037,52,152
314039,53,0
314040,54,651
314041,55,711
314042,56,821
314043,57,889
314044,58,812
314045,59,205
314046,60,501
64701419,61A,164
64701420,61B,177
64701421,61C,238
64701422,61D,152
75366999,62A,312
75367031,62B,376
75367048,62C,124
314053,63,196
314054,64,192
314055,65,195
314056,66,197
314057,67,163
314058,68,197
314059,69,202
314060,70,199
314061,71,244
314062,72,234
314063,73,144
314064,74,248
314065,75,227
314066,76,236
314067,77,246
314068,78,237
314069,79,236
314070,80,234
314071,81,245
314072,82,239
314073,83,240
314074,84,235
314075,85,237
314076,86,240
314077,87,230
314078,88,240
314079,89,233
314080,90,235
314081,91,237
314082,92,240
314083,93,239
314084,94,234
314085,95,235
314086,96,233
314087,97,241
314088,98,240
314089,99,240
314090,100,238
314091,101,239
314092,102,240
314093,103,239
314094,104,241
314095,105,237
314096,106,239
314097,107,238
314098,108,239
314099,109,234
314100,110,243
314101,111,239
314102,112,236
314103,113,235
314104,114,187
314105,115,233
314106,116,236
314107,117,234
314108,118,238
314109,119,239
314110,120,203
314111,121,186
314112,122,237
314113,123,235
314114,124,242
314115,125,240
314116,126,241
314117,127,246
314118,128,235
314119,129,248
314120,130,252
314121,131,246
314122,132,239
314123,133,234
314124,134,237
314125,135,234
314126,136,242
314127,137,235
314128,138,239
314129,139,248
314130,140,250
314131,141,234
314132,142,237
314133,143,234
314134,144,236
314135,145,234
314136,146,235
314137,147,235
314138,148,236
314139,149,233
314140,150,241
314141,151,232
314142,152,232
314143,153,234
314144,154,239
314145,155,144
314146,156,235
314147,157,236
314148,158,236
314149,159,230
314150,160,236
314151,161,235
314152,162,233
314153,163,236
314154,164,231
314155,165,232
314156,166,252
314157,167,239
314158,168,238
314159,169,236
314160,170,195
314162,171,195
314163,172,231
314164,173,236
314165,174,240
314166,175,244
314167,176,237
314168,177,236
314169,178,222
314170,179,241
314171,180,246
314172,181,247
314173,182,233
314174,183,232
314175,184,247
314176,185,228
314177,186,227
314178,187,224
314179,188,231
314180,189,236
314181,190,238
314182,191,93
314184,192,193
314185,193,189
314186,194,123
64701430,195A,309
64701429,195B,250
314189,196,774
314190,197,798
314191,198,799
314192,199,631
314193,200,716
314194,201,704
314196,202,235
314200,205,34
314202,206,56
314206,208,155
314207,209,192
314208,210,231
314209,211,201
314210,212,199
314211,213,193
314212,214,190
314213,215,203
314214,216,199
314215,217,204
314216,218,203
314217,219,197
314218,220,206
314219,221,201
314220,222,201
314221,223,196
314222,224,203
314223,225,189
314224,226,187
314225,227,196
314226,228,248
314227,229,189
314228,230,188
314229,231,196
314230,232,196
314231,233,202
314232,234,191
314233,235,189
314234,236,193
314235,237,195
314236,238,195
314237,239,202
314238,240,198
314239,241,205
314240,242,201
314241,243,192
314243,244,144
314244,245,180
314245,246,203
314246,247,202
314247,248,214
314248,249,190
314249,250,183
314250,251,84
314251,252,212
314253,253,584
314254,254,514
314255,255,571
314256,256,621
314257,257,752
314259,258A,385
314260,258B,407
314262,259A,358
314263,259B,382
314265,260,173
314268,261,701
314269,262,530
314270,263,408
314271,264,749
314272,265,579
314273,266,574
314274,267,521
314275,268,559
314276,269,248
314277,270,239
314278,271,323
314279,272,290
314280,273,403
314281,274,412
314282,275,538
314283,276,432
314284,277,491
314285,278,456
314286,279,460
314287,280,397
314288,281,462
314289,282,480
314290,283,410
314291,284,267
314292,285,361
314293,286,354
314294,287,532
314295,288,386
314296,289,459
314297,290,513
314298,291,431
314299,292,399
314300,293,612
314301,294,488
314302,295,337
314303,296,216
314304,297,164
314305,298,336
314306,299,282
314307,300,227
314308,301,281
314309,302,385
314310,303,392
314311,304,351
314312,305,321
314313,306,442
314314,307,247
314315,308,344
314316,309,337
314317,310,298
314318,311,248
